"<img src=""{{ doc.signature_image }}"" style=""max-height: 100px;"">",,
"<p>The GitHub integration allows translations to be automatically shared to a central repository.</p><p>To set up GitHub integration:</p><ol><li>Create a GitHub account if you don't have one</li><li>Create a Personal Access Token (Classic) at <a href=""https://github.com/settings/tokens"" target=""_blank"">GitHub Settings</a></li><li>Give it the 'repo' permission</li><li>Copy the token and paste it above</li></ol>",,
AI Auto-save Translations,,
AI Batch Translation,,
AI Mode,,
AI Model Provider,,
AI Models,,
AI Translate,,
AI Translate Batch,,
AI Translating...,,
AI Translation Models,,
AI Translation Settings,,
AI models refreshed successfully,,
API Configuration,,
API Key,កូនសោ API,
API Keys,,
API Response Analysis,,
API Settings,,
API Settings,,
API settings saved successfully!,,
ASEAN Translation Files,,
ASEAN Translations,,
Abbreviation,អក្សរកាត់,
About,,
About,,
About Translation Tools,,
About this tool,,
Account Mapper,,
Account Name,ឈ្មោះគណនី,
Action,សកម្មភាព,
Actions,ការប្រព្រឹត្ដ,
Active,សកម្ម,
Add,បន្ថែម,
Add New Glossary Term,,
Add Term,,
Add a new term to the translation glossary.,,
Add your API key and click,,
Added,បានបន្ថែម,
Adding...,,
All,ទាំងអស់,
All,ទាំងអស់,
All cells,,
All entries,,
Amount,ចំនួនទឹកប្រាក់,
An error occurred,,
Analysis,,
Anthropic API Key,,
Anthropic API Key,,
Anthropic Claude,,
Anthropic Claude Settings,,
Anthropic Configuration,,
Anthropic Model,,
App,កម្មវិធី,
App Name,ឈ្មោះកម្មវិធី,
App Sync Settings (JSON),,
Apply Changes,,
Approved,បានអនុម័ត,
Approved Term,,
Apps,,
Auto Attach PDF,,
Auto Save,,
Auto Sync,,
Auto-detected Mapping,,
Auto-imported,,
Automatic,,
Automatic .po file translation with AI,,
Automatic CSV file translation,,
Available Translation Files,,
Back,,
Back to ERPNext,,
Backup Before Sync,,
Basic Information,,
Basic Settings,,
Batch Size,ទំហំបាច់។,
Batch Size,ទំហំបាច់។,
Batch translation completed successfully,,
Bold,ដិត,
Bold Italics,,
Branch,សាខា,
Branch,សាខា,
Breadcrumb Navigation Arrow,,
Bulk Translation Job,,
Bulk UUID Generator,,
Bunchee Online,,
Business,,
Business,,
CSV Automation Tools,,
CSV Translation Tool,,
CSV Translations,,
CSV automation with column merge,,
CSV downloaded!,,
Cancel,បោះបង់,
Cancelled,បានកាត់បន្ថយ,
Card Name,,
Cards,កាត។,
Category,ប្រភេទ,
Category,ប្រភេទ,
Chart of Accounts Import,,
Clean Duplicates,,
Cleaning...,,
Clear Selection,,
Click,,
Click the button below to import accounts to the database,,
Click to sync,,
Close,បិទការ,
Column Mapping,,
Command Type,,
Common problems identified in logs,,
Company,ក្រុមហ៊ុន,
Company Name,ឈ្មោះក្រុមហ៊ុន,
"Company already exists, using existing",,
Company created successfully,,
Complete Setup,,
Complete output from the translation process,,
Completed,បានបញ្ចប់,
Completed At,,
Configure API keys in Settings before translating,,
Configure common parameters for both translation providers,,
Configure how translations are processed,,
Configure which AI models to use for translations,,
Configure your AI service provider API keys,,
Configure your Anthropic Claude API settings for translations,,
Configure your OpenAI API settings for translations,,
Confirm Deletion,,
Conflict Resolution,,
Conflict Resolution Strategy,,
Contact,ការទំនាក់ទំនង,
Context,បរិបទ,
Context,បរិបទ,
Copy,,
Copy All,,
Create Company,,
Create New Company,,
Create New Company...,,
Create a token with,,
Create a token with 'repo' scope at https://github.com/settings/tokens,,
Created,បានបង្កើត,
Cron,ក្រូន,
Cron Expression,,
Currency,រូបិយប័ណ្ណ,
Currency defaults to THB,,
Current App,,
Current Locale,,
Current POT,,
Current Status,,
Custom Cron Expression,,
Custom Fonts,,
Customer Name,ឈ្មោះអតិថិជន,
Daily,ជារៀងរាល់ថ្ងៃ,
Dark,,
Dashboard Content,,
Date/Time,,
Day of Month,,
Default Font,,
Default Model,,
Default Model,,
Default Model Provider,,
Default Model Provider,,
Default Provider,,
Default Source Language,,
Default Target Language,,
Delete,លុប,
Deleting...,,
Description,ការពិពណ៌នាសង្ខេប,
Description,ការពិពណ៌នាសង្ខេប,
Desk Version,,
Detected Issues,,
Documentation,,
Download CSV,,
Download CSV with UUIDs,,
Download Full Logs,,
Download TXT,,
Download Translated CSV,,
Download as TXT or CSV,,
Download results as CSV,,
Downloaded mapped CSV,,
Drop your CSV file here,,
ERPNext ASEAN Translations,,
ERPNext Module,,
ERPNext Translation Dashboard,,
Edit Glossary Term,,
Enable Auto Sync,,
Enable Chat Features,,
Enable GitHub Integration,,
Enable Github Integration,,
Enable Message Tone,,
Enable Notifications,,
Enable Scheduled Auto Sync,,
Enable Translation Service,,
Enable this step,,
Enabled,បានបើក,
English Term,,
Enter ASEAN Translations,,
Enter Account Mapper,,
Enter Anthropic API Key,,
Enter CSV Translations,,
Enter Github Token,,
Enter OpenAI API Key,,
Enter Thai translation,,
Enter UUID Generator,,
"Enter a valid cron expression (e.g., '0 2 * * *' for daily at 2 AM)",,
Enter day of month (1-31),,
Enter source term,,
Enter translation here...,,
Entries,,
Error,កំហុសក្នុងការ,
Error,កំហុសក្នុងការ,
Error Log,កំហុសក្នុងការចូល,
Error Message,សារកំហុស។,
Error applying changes,,
Error loading configuration,,
Error loading logs,,
Error loading translation status,,
Error previewing changes,,
Error searching repository,,
Execution Log,,
Execution Status,,
Existing Companies,,
Exists,,
Failed,បានបរាជ័យ,
Failed,បានបរាជ័យ,
Failed Accounts,,
Failed to fetch models. Please refresh or check API key.,,
Failed to generate abbreviation,,
Failed to load companies,,
Failed to load glossary terms,,
Failed to load settings,,
Failed to load translations,,
Failed to parse CSV file,,
Failed to refresh models,,
Failed to save API settings,,
Failed to save settings,,
Failed to save translation settings,,
Failed to save translations,,
Failed to update language preference,,
File,ឯកសារ,
File Explorer,,
File Information,ព័ត៌មានឯកសារ។,
File Path,,
File Ready,,
Filename,,
Filename,,
Files,ឯកសារ,
Files Processed,,
Filter entries,,
Find Translation Files,,
Fix Parent Account references,,
Font Name,,
For AI only,,
Force Regenerate,,
Force Regenerate POT,,
Force regenerate will overwrite existing POT files,,
Found,,
Frappe School,,
Frappe Support,,
Friday,ថ្ងៃសុក្រ,
Fuzzy,,
General Settings,ការកំណត់ទូទៅ,
Generate,,
Generate ASEAN Translations,,
Generate POT Files,,
Generate UUIDs for Selected Columns,,
Generate unique identifiers for data,,
Generating POT Files,,
Generating POT Files...,,
Generating...,,
Generation Complete,,
GitHub,GitHub,
GitHub Integration,,
GitHub Integration,,
GitHub Personal Access Token (Classic),,
GitHub Personal Access Token Required,,
GitHub Repository,,
GitHub Settings,,
GitHub Sync History Entry,,
GitHub Sync Settings,,
Github Branch,,
Github Integration,,
Github Repo URL,,
Github Test Success,,
Github Test has warning,,
Github Token,,
Glossary Manager,,
Glossary and technical term management,,
Glossary synced from file,,
Go to next page,,
Go to previous page,,
Guest User,,
Has Error,,
Help,សូមជួយ,
Hide GitHub token,,
Home,ទំព័រដើម,
IBM Plex Thai,,
Icon,រូបតំណាង,
Import Accounts,,
Import Another,,
Import Complete,,
Import Now,,
Important,សំខាន់,
Importing accounts...,,
In Progress,កំពុងដំណើរការ,
Indicator Color,ពណ៌សូចនាករ,
Invalid response from server,,
Is Approved,,
Italics,,
JSON Parsing Issues,,
"JSON array for dashboard layout (number cards, charts, shortcuts)",,
"JSON array of links: [{""label"": ""Item"", ""link_to"": ""Item"", ""link_type"": ""DocType"", ""is_query_report"": 0, ""onboard"": 1}]",,
JSON storage for per-app auto-sync settings,,
Job ID,,
Job Information,,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Language,ភាសា,
Last Modified,,
Last Modified,,
Last Run,,
Last Scanned,,
Last Sync Changes,,
Last Sync Date/Time,,
Last Sync Status,,
Light,,
Links (JSON),,
Loading,កំពុងផ្ទុក,
Loading apps...,,
Loading file contents...,,
Loading settings...,,
Loading...,,
Local File,,
Locale,,
Log Out,,
Log out,,
Login,ចូល,
"Lower values give more consistent translations, higher values more creative",,
Manual,សៀវភៅដៃ,
Manual Mode,,
Match score,,
Max Retries,,
Max Tokens,,
Maximum tokens to generate per API call,,
Model,តារាម៉ូដែល,
Model,តារាម៉ូដែល,
Models last updated,,
Module,ម៉ូឌុល,
Module,ម៉ូឌុល,
Module Name,ឈ្មោះម៉ូឌុល,
Monday,កាលពីថ្ងៃចន្ទ,
Monthly,ប្រចាំខែ,
More,ច្រើនទៀត,
More pages,,
My Account,,
My Profile,,
My Settings,,
Name,ឈ្មោះ,
Navigation,,
New Translations,,
Next,បន្ទាប់,
Next Run,,
Next Scheduled Sync,,
Next Untranslated,,
Next slide,,
No Logs Available,,
No company found.,,
No data available for this file,,
No entries available for this file,,
No entries match your filter,,
No log content,,
No models available,,
No translation files found,,
No untranslated entries found in this page,,
None,គ្មាន,
Normal,ធម្មតា,
Noto Sans Thai,,
Number of UUIDs,,
Number of entries to translate in a batch,,
Once,,
OpenAI,,
OpenAI API Key,,
OpenAI API Key,,
OpenAI Configuration,,
OpenAI Model,,
OpenAI Settings,,
Options,ជម្រើស,
Overall Progress,,
Override company name,,
Overview of translation log analysis,,
PDF Generation Method,,
PDF Settings,ការកំណត់ជា PDF,
PDFMake,,
PDFMake Settings,,
PO File,,
POT Generation Completed Successfully!,,
POT Generation Completed with Issues,,
POT file generation has completed. Check the results below.,,
Package Name,,
Parent,មាតាឬបិតា,
Path where signature files will be stored (relative to site public folder),,
Patterns detected in AI model responses,,
Paused,,
Payment Date,កាលបរិច្ឆេទការទូទាត់,
Pending,ឡុងេពល,
Pending,ឡុងេពល,
Percent Complete,,
Please enter company name and abbreviation,,
Please select PO File first,,
Please select Thai and English columns,,
Please select a PO file to start translation,,
Please select at least one column for UUID generation,,
Please wait while POT files are being generated...,,
Please wait while we validate the data,,
Please wait...,,
Preferred Language,,
Preservation of formatting tags and placeholders,,
Preserve Formatting,,
Preserve Formatting,,
Preview,មើលជាមុន,
Preview Changes,,
Previous,មុន,
Previous slide,,
Price,តំលៃលក់,
Print Message,,
Priority,អាទិភាព,
Privacy,,
Problems encountered parsing AI responses,,
Processed Apps,,
Processed Locales,,
Processing...,,
Profile,,
Progress,ការរីកចំរើន,
Progress,ការរីកចំរើន,
Promise,,
Provider,ក្រុមហ៊ុនផ្គត់ផ្គង់,
Pull Request,,
Push to Github,,
Queued,បានដាក់ជាជួរ,
Raw Log Content,,
Raw Logs,,
Re-validate,,
Ready to import,,
Refresh,ធ្វើឱ្យស្រស់,
Refresh Files,,
Refresh Models,,
Refreshing...,,
Refunded,,
Reload,ផ្ទុកឡើងវិញ,
Remove extra quotes from Data Export,,
Report an Issue,,
Repository,,
Repository URL,,
Repository URL,,
Reset,,
Results,,
Results & Logs,,
Retry Count,,
Review how columns will be mapped from source to target,,
Review the import results,,
Review the mapped data before importing,,
Root Type,ប្រភេទជា root,
Running,,
Sarabun,,
Saturday,ថ្ងៃសៅរ៍,
Save,រក្សាទុក,
Save API Settings,,
Save All Settings,,
Save Settings,,
Save Term,,
Save Translation Settings,,
Save Translations,,
Saving translations...,,
Saving...,,
Scan Files,,
Scanning...,,
Schedule Name,ដាក់ឈ្មោះឈ្មោះ,
Schedule Type,,
Scheduled,កំណត់ពេលវេលា,
Scheduling,,
Search app name...,,
Search companies...,,
Search files...,,
Search in entries...,,
Search terms...,,
Select All,,
Select All Untranslated,,
"Select CSV
                      File",,
Select CSV File,,
Select English column,,
Select None,,
Select Target Company,,
Select Thai column,,
Select a CSV file to analyze and translate,,
Select a PO file,,
Select all files,,
Select an entry to start translating,,
Select category,,
Select columns and translation direction,,
Select columns to translate,,
Select company...,,
Select default model,,
Select default provider,,
Select entries to translate in batch,,
Select model,,
Select module,,
Select target column,,
Select the translation tool you want to use,,
Selected Company,,
Separator,អ្នកបំបែក,
Sequence,,
Sequence ID,លេខសម្គាល់លំដាប់,
Session Defaults,លំនាំដើមវេន។,
Settings,ការកំណត់,
Settings saved successfully,,
Setup Required,,
Show GitHub token,,
Sidebar,,
Sign In,,
Sign Out,,
Signature,ហត្ថលេខា,
Signature Image,,
Signature Preview,,
Signature Storage Path,,
Signature URL,,
Single UUID Generator,,
Single UUID generation,,
Skip Empty Values,,
Skipped,,
Source Column,,
Source Language,,
Source Term,,
Source Text,អត្ថបទប្រភព,
Specialized handling of software localization,,
Start Import,,
Started At,,
Starting...,,
Status,ស្ថានភាព,
Status,ស្ថានភាព,
Stripe Session ID,,
Success,ជោគជ័យ,
Success,ជោគជ័យ,
Successfully connected to GitHub!,,
Summary,សង្ខេប,
Sunday,កាលពីថ្ងៃអាទិត្យ,
"Supports Thai, Vietnamese, Malay, etc.",,
Supports large files,,
Switch To Desk,,
Sync Date/Time,,
Sync Duration (seconds),,
Sync Frequency,,
Sync History,,
Sync Schedule,,
Sync Status,,
Sync Translations from GitHub,,
Sync Type,,
Sync from File,,
Sync from GitHub,,
Sync with GitHub Repository,,
Syncing from GitHub...,,
Syncing...,,
System,របស់ប្រព័ន្ធ,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Target Field,,
Target Language,,
Technical,,
Technical,,
Temperature,,
Temperature,,
Terms,លក្ខខណ្ឌ,
Test Connect,,
Testing Anthropic connection...,,
Testing GitHub connection...,,
Testing OpenAI connection...,,
Thai Name,,
Thai Tax Consultant License Key,,
Thai Translation,,
Thai Translation,,
Thai Translation Dashboard,,
Thai language glossary for consistent terminology,,
The Anthropic Claude model to use for translations,,
The OpenAI model to use for translations,,
The default AI model to use for translations,,
This action cannot be undone. The files will be backed up but removed from the application.,,
Thursday,ថ្ងៃព្រហស្បតិ៍,
Time,ពេលវេលា,
Toggle Full Width,,
Toggle Sidebar,បិទ / បើករបារចំហៀង,
Toggle Theme,,
Toggle theme,,
Token Amount,,
Token Balance,,
Token Package,,
Token Purchase,,
Total,ចំនួនសរុប,
Total Apps,,
Total Entries,,
Total Entries,,
Total Locales,,
Total Tokens Purchased,,
Total Tokens Used,,
Transaction ID,លេខសម្គាល់ប្រតិបត្តិការ,
Translate CSV,,
Translated,,
Translated Entries,,
Translated Text,អត្ថបទបកប្រែ,
Translated only,,
Translating batch of,,
Translating...,,
Translation,ការបកប្រែ,
Translation Dashboard,,
Translation Date,,
Translation Direction,,
Translation Editor,,
Translation Error,,
Translation Glossary,,
Translation Glossary Term,,
Translation History,,
Translation History Entry,,
Translation Logs,,
Translation Manager,,
Translation Mode,,
Translation Options,,
Translation PDF Settings,,
Translation Parameters,,
Translation Progress,,
Translation Schedule,,
Translation Settings,,
Translation Settings,,
Translation Settings Custom Font,,
Translation Status,,
Translation Status,,
Translation Status Report,,
Translation Tools,,
Translation Tools,,
Translation Tools Settings,,
Translation User Settings,,
Translation failed,,
Translation for ASEAN Countries,,
Translation in Progress,,
Translation settings saved successfully!,,
Translations saved successfully,,
Try Again,,
Tuesday,កាលពីថ្ងៃអង្គារ,
UI,,
UUID Format Information,,
UUID Generated!,,
UUID Generator,,
UUID copied to clipboard!,,
UUIDs downloaded as CSV!,,
UUIDs downloaded!,,
Unchanged,មិនផ្លាស់ប្តូរ,
Unchanged,មិនផ្លាស់ប្តូរ,
Untranslated,មិនត្រូវបានបកប្រែ,
Untranslated only,,
Update,ធ្វើឱ្យទាន់សម័យ,
Update Term,,
Update the translation glossary term.,,
Updated,ធ្វើឱ្យទាន់សម័យ,
Updated Translations,,
Updating...,,
Upload Account Export CSV,,
Upload CSV file and translate automatically,,
Upload your signature image (PNG format recommended),,
Use Thai Glossary,,
User,អ្នកប្រើ,
User Forum,,
User Full Name,,
User Signature,,
User Tokens,,
Validating accounts...,,
Validating...,,
Validation Failed,,
Validation Passed,,
Validation failed,,
Validation found issues,,
Validation passed,,
View Accounts,,
View Website,មើលគេហទំព័រ,
Warnings,,
WeasyPrint,,
WeasyPrint Path,,
Wednesday,ថ្ងៃពុធ,
Weekday,ថ្ងៃធ្វើការ។,
Weekly,ប្រចាំសប្តាហ៍,
Why disabled?,,
Workspace Cards,,
Workspace Config,,
Workspace Config Card,,
Workspace Name,,
You can create a token at,,
ai-translator,,
all,,
anthropic,,
blue,ខៀវ,
claude,,
compile_mo,,
custom,,
daily,,
de,,
"e.g., '0 2 * * *' for 2 AM daily, '0 0 * * 1' for Monday midnight",,
en,,
es,,
fr,,
full_workflow,,
generate_pot,,
github_wins,,
gray,,
green,បៃតង,
hourly,,
it,,
ja,,
ko,,
local_wins,,
manual_review,,
migrate_csv_to_po,,
openai,,
orange,ទឹកក្រូច,
pdf-generator,,
pdf-override,,
pt,,
red,ក្រហម,
resend-integration,,
ru,,
tax-consultant,,
th,ទី,
thai_translator,,
translation-status,,
translation-tools,,
translator,,
update_po,,
vi,,
weekly,,
wkhtmltopdf,,
zh,,
zh-CN,,
