Action,thao tác,
Actions,Các thao tác,
Active,có hiệu lực,
Added,Thêm,
All,Tất cả,
All,Tất cả,
Amount,Giá trị,
App,App,
App Name,Tên ứng dụng,
Approved,Đã được phê duyệt,
Batch Size,Kích thước hàng loạt,
Batch Size,Kích thước hàng loạt,
Bold,Dũng cảm,
Branch,Chi nhánh,
Cancel,Hủy bỏ,
Cancelled,HỦY BỎ,
Category,thể loại,
Category,thể loại,
Close,Đóng,
Completed,Hoàn thành,
Contact,Liên hệ,
Context,Bối cảnh,
Cron,Cron,
Currency,Tiền tệ,
Customer Name,Tên khách hàng,
Daily,Hàng ngày,
Description,Mô tả,
Enabled,Đã bật,
Error,Lỗi,
Error,Lỗi,
Error Log,Lỗi hệ thống,
Error Message,Thông báo lỗi,
Failed,Thất bại,
File,Tập tin,
File Information,Thông tin tập tin,
Friday,Thứ sáu,
General Settings,Thiết lập chung,
GitHub,GitHub,
Help,Trợ giúp,
In Progress,Trong tiến trình,
Keyboard Shortcuts,Các phím tắt bàn phím,
Language,Ngôn ngữ,
Manual,Hướng dẫn sử dụng,
Model,Mô hình,
Module,Mô-đun,
Module,Mô-đun,
Module Name,Tên mô-đun,
Monday,Thứ Hai,
Monthly,Hàng tháng,
More,Nhiều Hơn,
Name,Tên,
Next,Tiếp theo,
Normal,Bình thường,
Options,Tùy chọn,
PDF Settings,Thiết lập định dạng file PDF,
Payment Date,Ngày thanh toán,
Pending,Chờ,
Pending,Chờ,
Price,Giá,
Priority,Ưu tiên,
Provider,Các nhà cung cấp,
Queued,Xếp hàng,
Refresh,Làm mới,
Reload,Nạp lại,
Saturday,Thứ bảy,
Schedule Name,Tên Lịch,
Scheduled,Dự kiến,
Session Defaults,Mặc định phiên,
Signature,Chữ ký,
Source Text,Tiêu đề nguồn,
Status,Trạng thái,
Status,Trạng thái,
Success,Sự thành công,
Summary,Tóm lược,
Sunday,Chủ Nhật,
System,Hệ thống,
System Manager,Hệ thống quản lý,
Terms,Điều khoản,
Thursday,Thứ năm,
Time,Thời gian,
Transaction ID,ID giao dịch,
Translated Text,văn bản đã được dịch,
Tuesday,Thứ ba,
Updated,Đã được cập nhật,
User,Người dùng,
View Website,Xem trang web,
Wednesday,Thứ tư,
Weekday,Các ngày trong tuần,
Weekly,Hàng tuần,
th,th,
