"<img src=""{{ doc.signature_image }}"" style=""max-height: 100px;"">",,
"<p>The GitHub integration allows translations to be automatically shared to a central repository.</p><p>To set up GitHub integration:</p><ol><li>Create a GitHub account if you don't have one</li><li>Create a Personal Access Token (Classic) at <a href=""https://github.com/settings/tokens"" target=""_blank"">GitHub Settings</a></li><li>Give it the 'repo' permission</li><li>Copy the token and paste it above</li></ol>",,
AI Auto-save Translations,,
AI Batch Translation,,
AI Mode,,
AI Model Provider,,
AI Models,,
AI Translate,,
AI Translate Batch,,
AI Translating...,,
AI Translation Models,,
AI Translation Settings,,
AI models refreshed successfully,,
API Configuration,,
API Key,Key API,
API Keys,,
API Response Analysis,,
API Settings,,
API Settings,,
API settings saved successfully!,,
ASEAN Translation Files,,
ASEAN Translations,,
Abbreviation,ຊື່ຫຍໍ້,
About,,
About,,
About Translation Tools,,
About this tool,,
Account Mapper,,
Account Name,ຊື່ບັນຊີ,
Action,ການປະຕິບັດ,
Actions,ການກະທໍາ,
Active,ການເຄື່ອນໄຫວ,
Add,ຕື່ມ,
Add New Glossary Term,,
Add Term,,
Add a new term to the translation glossary.,,
Add your API key and click,,
Added,ເພີ່ມ,
Adding...,,
All,ທັງ ໝົດ,
All,ທັງ ໝົດ,
All cells,,
All entries,,
Amount,ຈໍານວນ,
An error occurred,,
Analysis,,
Anthropic API Key,,
Anthropic API Key,,
Anthropic Claude,,
Anthropic Claude Settings,,
Anthropic Configuration,,
Anthropic Model,,
App,App,
App Name,ຊື່ App,
App Sync Settings (JSON),,
Apply Changes,,
Approved,ການອະນຸມັດ,
Approved Term,,
Apps,,
Auto Attach PDF,,
Auto Save,,
Auto Sync,,
Auto-detected Mapping,,
Auto-imported,,
Automatic,,
Automatic .po file translation with AI,,
Automatic CSV file translation,,
Available Translation Files,,
Back,,
Back to ERPNext,,
Backup Before Sync,,
Basic Information,,
Basic Settings,,
Batch Size,ຂະ ໜາດ ຊຸດ,
Batch Size,ຂະ ໜາດ ຊຸດ,
Batch translation completed successfully,,
Bold,ກ້າຫານ,
Bold Italics,,
Branch,ສາຂາ,
Branch,ສາຂາ,
Breadcrumb Navigation Arrow,,
Bulk Translation Job,,
Bulk UUID Generator,,
Bunchee Online,,
Business,,
Business,,
CSV Automation Tools,,
CSV Translation Tool,,
CSV Translations,,
CSV automation with column merge,,
CSV downloaded!,,
Cancel,ຍົກເລີກການ,
Cancelled,ຫຼຸດລົງ,
Card Name,,
Cards,ບັດ,
Category,ປະເພດ,
Category,ປະເພດ,
Chart of Accounts Import,,
Clean Duplicates,,
Cleaning...,,
Clear Selection,,
Click,,
Click the button below to import accounts to the database,,
Click to sync,,
Close,ປິດ,
Column Mapping,,
Command Type,,
Common problems identified in logs,,
Company,ບໍລິສັດ,
Company Name,ຊື່ບໍລິສັດ,
"Company already exists, using existing",,
Company created successfully,,
Complete Setup,,
Complete output from the translation process,,
Completed,ສໍາເລັດ,
Completed At,,
Configure API keys in Settings before translating,,
Configure common parameters for both translation providers,,
Configure how translations are processed,,
Configure which AI models to use for translations,,
Configure your AI service provider API keys,,
Configure your Anthropic Claude API settings for translations,,
Configure your OpenAI API settings for translations,,
Confirm Deletion,,
Conflict Resolution,,
Conflict Resolution Strategy,,
Contact,ການຕິດຕໍ່,
Context,ສະພາບການ,
Context,ສະພາບການ,
Copy,,
Copy All,,
Create Company,,
Create New Company,,
Create New Company...,,
Create a token with,,
Create a token with 'repo' scope at https://github.com/settings/tokens,,
Created,ສ້າງແລ້ວ,
Cron,Cron,
Cron Expression,,
Currency,ສະກຸນເງິນ,
Currency defaults to THB,,
Current App,,
Current Locale,,
Current POT,,
Current Status,,
Custom Cron Expression,,
Custom Fonts,,
Customer Name,ຊື່ຂອງລູກຄ້າ,
Daily,ປະຈໍາວັນ,
Dark,,
Dashboard Content,,
Date/Time,,
Day of Month,,
Default Font,,
Default Model,,
Default Model,,
Default Model Provider,,
Default Model Provider,,
Default Provider,,
Default Source Language,,
Default Target Language,,
Delete,ລົບ,
Deleting...,,
Description,ລາຍລະອຽດ,
Description,ລາຍລະອຽດ,
Desk Version,,
Detected Issues,,
Documentation,,
Download CSV,,
Download CSV with UUIDs,,
Download Full Logs,,
Download TXT,,
Download Translated CSV,,
Download as TXT or CSV,,
Download results as CSV,,
Downloaded mapped CSV,,
Drop your CSV file here,,
ERPNext ASEAN Translations,,
ERPNext Module,,
ERPNext Translation Dashboard,,
Edit Glossary Term,,
Enable Auto Sync,,
Enable Chat Features,,
Enable GitHub Integration,,
Enable Github Integration,,
Enable Message Tone,,
Enable Notifications,,
Enable Scheduled Auto Sync,,
Enable Translation Service,,
Enable this step,,
Enabled,ເປີດການໃຊ້ງານ,
English Term,,
Enter ASEAN Translations,,
Enter Account Mapper,,
Enter Anthropic API Key,,
Enter CSV Translations,,
Enter Github Token,,
Enter OpenAI API Key,,
Enter Thai translation,,
Enter UUID Generator,,
"Enter a valid cron expression (e.g., '0 2 * * *' for daily at 2 AM)",,
Enter day of month (1-31),,
Enter source term,,
Enter translation here...,,
Entries,,
Error,Error,
Error,Error,
Error Log,Error ເຂົ້າສູ່ລະບົບ,
Error Message,ຂໍ້ຄວາມຜິດພາດ,
Error applying changes,,
Error loading configuration,,
Error loading logs,,
Error loading translation status,,
Error previewing changes,,
Error searching repository,,
Execution Log,,
Execution Status,,
Existing Companies,,
Exists,,
Failed,ສົບຜົນສໍາເລັດ,
Failed,ສົບຜົນສໍາເລັດ,
Failed Accounts,,
Failed to fetch models. Please refresh or check API key.,,
Failed to generate abbreviation,,
Failed to load companies,,
Failed to load glossary terms,,
Failed to load settings,,
Failed to load translations,,
Failed to parse CSV file,,
Failed to refresh models,,
Failed to save API settings,,
Failed to save settings,,
Failed to save translation settings,,
Failed to save translations,,
Failed to update language preference,,
File,ແຟ້ມ,
File Explorer,,
File Information,ຂໍ້ມູນເອກະສານ,
File Path,,
File Ready,,
Filename,,
Filename,,
Files,ໄຟ,
Files Processed,,
Filter entries,,
Find Translation Files,,
Fix Parent Account references,,
Font Name,,
For AI only,,
Force Regenerate,,
Force Regenerate POT,,
Force regenerate will overwrite existing POT files,,
Found,,
Frappe School,,
Frappe Support,,
Friday,ສຸກ,
Fuzzy,,
General Settings,ການຕັ້ງຄ່າທົ່ວໄປ,
Generate,,
Generate ASEAN Translations,,
Generate POT Files,,
Generate UUIDs for Selected Columns,,
Generate unique identifiers for data,,
Generating POT Files,,
Generating POT Files...,,
Generating...,,
Generation Complete,,
GitHub,GitHub,
GitHub Integration,,
GitHub Integration,,
GitHub Personal Access Token (Classic),,
GitHub Personal Access Token Required,,
GitHub Repository,,
GitHub Settings,,
GitHub Sync History Entry,,
GitHub Sync Settings,,
Github Branch,,
Github Integration,,
Github Repo URL,,
Github Test Success,,
Github Test has warning,,
Github Token,,
Glossary Manager,,
Glossary and technical term management,,
Glossary synced from file,,
Go to next page,,
Go to previous page,,
Guest User,,
Has Error,,
Help,ຊ່ວຍເຫຼືອ,
Hide GitHub token,,
Home,ຫນ້າທໍາອິດ,
IBM Plex Thai,,
Icon,ໄອຄອນ,
Import Accounts,,
Import Another,,
Import Complete,,
Import Now,,
Important,ທີ່ ສຳ ຄັນ,
Importing accounts...,,
In Progress,ໃນຄວາມຄືບຫນ້າ,
Indicator Color,ຕົວຊີ້ວັດສີ,
Invalid response from server,,
Is Approved,,
Italics,,
JSON Parsing Issues,,
"JSON array for dashboard layout (number cards, charts, shortcuts)",,
"JSON array of links: [{""label"": ""Item"", ""link_to"": ""Item"", ""link_type"": ""DocType"", ""is_query_report"": 0, ""onboard"": 1}]",,
JSON storage for per-app auto-sync settings,,
Job ID,,
Job Information,,
Keyboard Shortcuts,ຄີບອດ,
Language,ພາສາ,
Last Modified,,
Last Modified,,
Last Run,,
Last Scanned,,
Last Sync Changes,,
Last Sync Date/Time,,
Last Sync Status,,
Light,,
Links (JSON),,
Loading,ກໍາລັງໂຫລດ,
Loading apps...,,
Loading file contents...,,
Loading settings...,,
Loading...,,
Local File,,
Locale,,
Log Out,,
Log out,,
Login,ເຂົ້າສູ່ລະບົບ,
"Lower values give more consistent translations, higher values more creative",,
Manual,ຄູ່ມື,
Manual Mode,,
Match score,,
Max Retries,,
Max Tokens,,
Maximum tokens to generate per API call,,
Model,ຮູບແບບ,
Model,ຮູບແບບ,
Models last updated,,
Module,ໂມດູນ,
Module,ໂມດູນ,
Module Name,ຊື່ Module,
Monday,ຈັນ,
Monthly,ປະຈໍາເດືອນ,
More,ເພີ່ມເຕີມ,
More pages,,
My Account,,
My Profile,,
My Settings,,
Name,ຊື່,
Navigation,,
New Translations,,
Next,ຕໍ່ໄປ,
Next Run,,
Next Scheduled Sync,,
Next Untranslated,,
Next slide,,
No Logs Available,,
No company found.,,
No data available for this file,,
No entries available for this file,,
No entries match your filter,,
No log content,,
No models available,,
No translation files found,,
No untranslated entries found in this page,,
None,ບໍ່ມີ,
Normal,Normal,
Noto Sans Thai,,
Number of UUIDs,,
Number of entries to translate in a batch,,
Once,,
OpenAI,,
OpenAI API Key,,
OpenAI API Key,,
OpenAI Configuration,,
OpenAI Model,,
OpenAI Settings,,
Options,ທາງເລືອກໃນການ,
Overall Progress,,
Override company name,,
Overview of translation log analysis,,
PDF Generation Method,,
PDF Settings,ການຕັ້ງຄ່າ PDF,
PDFMake,,
PDFMake Settings,,
PO File,,
POT Generation Completed Successfully!,,
POT Generation Completed with Issues,,
POT file generation has completed. Check the results below.,,
Package Name,,
Parent,ພໍ່ແມ່,
Path where signature files will be stored (relative to site public folder),,
Patterns detected in AI model responses,,
Paused,,
Payment Date,ວັນທີ່ສະຫມັກການຊໍາລະເງິນ,
Pending,ທີ່ຍັງຄ້າງ,
Pending,ທີ່ຍັງຄ້າງ,
Percent Complete,,
Please enter company name and abbreviation,,
Please select PO File first,,
Please select Thai and English columns,,
Please select a PO file to start translation,,
Please select at least one column for UUID generation,,
Please wait while POT files are being generated...,,
Please wait while we validate the data,,
Please wait...,,
Preferred Language,,
Preservation of formatting tags and placeholders,,
Preserve Formatting,,
Preserve Formatting,,
Preview,Preview,
Preview Changes,,
Previous,ທີ່ຜ່ານມາ,
Previous slide,,
Price,ລາຄາ,
Print Message,,
Priority,ບູລິມະສິດ,
Privacy,,
Problems encountered parsing AI responses,,
Processed Apps,,
Processed Locales,,
Processing...,,
Profile,,
Progress,ຄວາມຄືບຫນ້າ,
Progress,ຄວາມຄືບຫນ້າ,
Promise,,
Provider,ຜູ້ໃຫ້ບໍລິການ,
Pull Request,,
Push to Github,,
Queued,ຄິວ,
Raw Log Content,,
Raw Logs,,
Re-validate,,
Ready to import,,
Refresh,ໂຫຼດຫນ້າຈໍຄືນ,
Refresh Files,,
Refresh Models,,
Refreshing...,,
Refunded,,
Reload,ໂຫລດ,
Remove extra quotes from Data Export,,
Report an Issue,,
Repository,,
Repository URL,,
Repository URL,,
Reset,,
Results,,
Results & Logs,,
Retry Count,,
Review how columns will be mapped from source to target,,
Review the import results,,
Review the mapped data before importing,,
Root Type,ປະເພດຮາກ,
Running,,
Sarabun,,
Saturday,ວັນເສົາ,
Save,ບັນທຶກ,
Save API Settings,,
Save All Settings,,
Save Settings,,
Save Term,,
Save Translation Settings,,
Save Translations,,
Saving translations...,,
Saving...,,
Scan Files,,
Scanning...,,
Schedule Name,ຊື່ຕາຕະລາງ,
Schedule Type,,
Scheduled,ກໍານົດ,
Scheduling,,
Search app name...,,
Search companies...,,
Search files...,,
Search in entries...,,
Search terms...,,
Select All,,
Select All Untranslated,,
"Select CSV
                      File",,
Select CSV File,,
Select English column,,
Select None,,
Select Target Company,,
Select Thai column,,
Select a CSV file to analyze and translate,,
Select a PO file,,
Select all files,,
Select an entry to start translating,,
Select category,,
Select columns and translation direction,,
Select columns to translate,,
Select company...,,
Select default model,,
Select default provider,,
Select entries to translate in batch,,
Select model,,
Select module,,
Select target column,,
Select the translation tool you want to use,,
Selected Company,,
Separator,ຕົວແຍກ,
Sequence,,
Sequence ID,ບັດປະ ຈຳ ຕົວ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Settings,ການຕັ້ງຄ່າ,
Settings saved successfully,,
Setup Required,,
Show GitHub token,,
Sidebar,,
Sign In,,
Sign Out,,
Signature,ລາຍເຊັນ,
Signature Image,,
Signature Preview,,
Signature Storage Path,,
Signature URL,,
Single UUID Generator,,
Single UUID generation,,
Skip Empty Values,,
Skipped,,
Source Column,,
Source Language,,
Source Term,,
Source Text,ຂໍ້ຄວາມແຫຼ່ງຂໍ້ມູນ,
Specialized handling of software localization,,
Start Import,,
Started At,,
Starting...,,
Status,ສະຖານະພາບ,
Status,ສະຖານະພາບ,
Stripe Session ID,,
Success,ຄວາມສໍາເລັດ,
Success,ຄວາມສໍາເລັດ,
Successfully connected to GitHub!,,
Summary,Summary,
Sunday,ວັນອາທິດ,
"Supports Thai, Vietnamese, Malay, etc.",,
Supports large files,,
Switch To Desk,,
Sync Date/Time,,
Sync Duration (seconds),,
Sync Frequency,,
Sync History,,
Sync Schedule,,
Sync Status,,
Sync Translations from GitHub,,
Sync Type,,
Sync from File,,
Sync from GitHub,,
Sync with GitHub Repository,,
Syncing from GitHub...,,
Syncing...,,
System,ລະບົບ,
System Manager,ຈັດການລະບົບ,
Target Field,,
Target Language,,
Technical,,
Technical,,
Temperature,,
Temperature,,
Terms,ຂໍ້ກໍານົດ,
Test Connect,,
Testing Anthropic connection...,,
Testing GitHub connection...,,
Testing OpenAI connection...,,
Thai Name,,
Thai Tax Consultant License Key,,
Thai Translation,,
Thai Translation,,
Thai Translation Dashboard,,
Thai language glossary for consistent terminology,,
The Anthropic Claude model to use for translations,,
The OpenAI model to use for translations,,
The default AI model to use for translations,,
This action cannot be undone. The files will be backed up but removed from the application.,,
Thursday,ວັນພະຫັດ,
Time,ເວລາ,
Toggle Full Width,,
Toggle Sidebar,Toggle Sidebar,
Toggle Theme,,
Toggle theme,,
Token Amount,,
Token Balance,,
Token Package,,
Token Purchase,,
Total,ທັງຫມົດ,
Total Apps,,
Total Entries,,
Total Entries,,
Total Locales,,
Total Tokens Purchased,,
Total Tokens Used,,
Transaction ID,ID Transaction,
Translate CSV,,
Translated,,
Translated Entries,,
Translated Text,ແປຂໍ້ຄວາມ,
Translated only,,
Translating batch of,,
Translating...,,
Translation,ການແປພາສາ,
Translation Dashboard,,
Translation Date,,
Translation Direction,,
Translation Editor,,
Translation Error,,
Translation Glossary,,
Translation Glossary Term,,
Translation History,,
Translation History Entry,,
Translation Logs,,
Translation Manager,,
Translation Mode,,
Translation Options,,
Translation PDF Settings,,
Translation Parameters,,
Translation Progress,,
Translation Schedule,,
Translation Settings,,
Translation Settings,,
Translation Settings Custom Font,,
Translation Status,,
Translation Status,,
Translation Status Report,,
Translation Tools,,
Translation Tools,,
Translation Tools Settings,,
Translation User Settings,,
Translation failed,,
Translation for ASEAN Countries,,
Translation in Progress,,
Translation settings saved successfully!,,
Translations saved successfully,,
Try Again,,
Tuesday,ວັນອັງຄານ,
UI,,
UUID Format Information,,
UUID Generated!,,
UUID Generator,,
UUID copied to clipboard!,,
UUIDs downloaded as CSV!,,
UUIDs downloaded!,,
Unchanged,ບໍ່ປ່ຽນແປງ,
Unchanged,ບໍ່ປ່ຽນແປງ,
Untranslated,ບໍ່ຖືກປັບປຸງ,
Untranslated only,,
Update,ການປັບປຸງ,
Update Term,,
Update the translation glossary term.,,
Updated,ການປັບປຸງ,
Updated Translations,,
Updating...,,
Upload Account Export CSV,,
Upload CSV file and translate automatically,,
Upload your signature image (PNG format recommended),,
Use Thai Glossary,,
User,ຜູ້ໃຊ້,
User Forum,,
User Full Name,,
User Signature,,
User Tokens,,
Validating accounts...,,
Validating...,,
Validation Failed,,
Validation Passed,,
Validation failed,,
Validation found issues,,
Validation passed,,
View Accounts,,
View Website,ເບິ່ງເວັບໄຊທ໌,
Warnings,,
WeasyPrint,,
WeasyPrint Path,,
Wednesday,ວັນພຸດ,
Weekday,ວັນອາທິດ,
Weekly,ປະຈໍາອາທິດ,
Why disabled?,,
Workspace Cards,,
Workspace Config,,
Workspace Config Card,,
Workspace Name,,
You can create a token at,,
ai-translator,,
all,,
anthropic,,
blue,ສີຟ້າ,
claude,,
compile_mo,,
custom,,
daily,,
de,,
"e.g., '0 2 * * *' for 2 AM daily, '0 0 * * 1' for Monday midnight",,
en,,
es,,
fr,,
full_workflow,,
generate_pot,,
github_wins,,
gray,,
green,ສີຂຽວ,
hourly,,
it,,
ja,,
ko,,
local_wins,,
manual_review,,
migrate_csv_to_po,,
openai,,
orange,ສີສົ້ມ,
pdf-generator,,
pdf-override,,
pt,,
red,ສີແດງ,
resend-integration,,
ru,,
tax-consultant,,
th,th,
thai_translator,,
translation-status,,
translation-tools,,
translator,,
update_po,,
vi,,
weekly,,
wkhtmltopdf,,
zh,,
zh-CN,,
